filename;num_live_knots;max_width_live_knots;num_dead_knots;max_dia_dead_knots;max_width_dead_knots;max_width_knot_collection;num_resin;num_resin_bigger_20;num_resin_bigger_80;overgrown_bool;overgrown_area;marrow_bool;blue_stain_area;rot_bool;rot_area;crack_max_dia
2024_10_04-B7.18.1.bmp;;;;;;;;;;;;;0.3;;;
2024_08_29-I16.1.2.bmp;4;0.38;;;;0.65;1;1;0;;;1;0;;;
2024_11_15-I17.39.1.bmp;;;;;;;;;;;;;0;;;
2024_10_04-B13.4.2.bmp;;;;;;;;;;;;;0;;;
2024_10_04-B12.37.1.bmp;;;2;25.83;0.22;0.34;;;;1;350.19;;0.38;;;
2024_10_03-3.9.1.bmp;3;0.55;;;;0.71;;;;1;14.77;;;;;
2024_08_29-I13.15.1.bmp;5;0.27;1;5.13;0.05;0.81;;;;1;5.73;;0;;;
2024_08_29-IB1.18.2.bmp;;;;;;;;;;;;;0.62;;;
2024_08_27-S4.10.1.bmp;;;1;18.98;0.1;;;;;;;;;;;
2024_10_03-1.32.1.bmp;1;0.1;;;;0.1;;;;;;;0;1;369.42;
2024_11_15-I17.13.2.bmp;;;;;;;;;;;;;;;;
2024_10_03-4.9.2.bmp;2;0.14;1;7.01;0.06;0.29;;;;;;;;;;
2024_11_15-N2.1.2.bmp;;;;;;;;;;;;;0;1;18.17;
2024_10_03-14.38.2.bmp;1;0.21;1;5.56;0.05;0.26;;;;;;;;;;
2024_11_15-I22.25.2.bmp;;;1;6.83;0.06;0.06;;;;;;;;;;
2024_10_04-B9.20.2.bmp;5;0.29;;;;0.66;6;5;1;;;;0;1;114.14;18.71
2024_10_03-4.38.1.bmp;1;0.09;;;;;;;;1;21.34;1;0;;;39.49
2024_10_04-B5.36.2.bmp;1;0.19;;;;;;;;;;;;;;
2024_10_03-14.12.2.bmp;1;0.45;;;;;;;;;;;;;;
2024_11_15-N1.40.2.bmp;;;1;8.24;0.07;;;;;;;;0;;;
2024_08_29-I14.4.2.bmp;4;0.23;;;;0.53;;;;;;;0;;;
2024_10_04-B11.7.2.bmp;2;0.22;;;;0.41;1;0;0;;;;0;;;
2024_08_27-S9.15.2.bmp;1;0.35;;;;0.35;;;;;;;;;;
2024_10_04-B2.10.1.bmp;1;0.07;1;17.6;0.15;0.22;;;;;;;0.41;;;
2024_11_15-N1.39.2.bmp;;;;;;;;;;;;;;;;
2024_10_03-2.19.2.bmp;1;0.06;;;;0.06;;;;;;;;1;237.31;
2024_11_15-I22.22.2.bmp;;;;;;;;;;1;27.72;1;0;1;32.67;
2024_08_29-I14.15.1.bmp;6;0.19;;;;0.69;;;;;;1;0;1;41.37;
2024_08_29-I11.8.1.bmp;3;0.14;;;;0.32;;;;;;;;1;82.97;
2024_10_04-B5.35.2.bmp;;;;;;;1;1;0;;;;0;;;
2024_10_03-2.4.1.bmp;3;0.33;1;11.31;0.1;0.79;;;;;;;0.01;1;52.51;
2024_10_03-15.16.1.bmp;2;0.19;1;7.35;0.06;0.33;;;;;;;0;;;
2024_11_15-N2.29.1.bmp;;;;;;;;;;;;;;;;
2024_10_04-B4.33.2.bmp;;;;;;;2;1;0;;;;;;;
2024_08_27-S13.4.2.bmp;2;0.08;;;;0.13;;;;;;;;;;
2024_10_03-6.40.2.bmp;2;0.67;;;;0.77;1;0;0;1;8.75;;0;1;6354.48;
2024_08_29-I13.9.2.bmp;3;0.44;;;;1.21;;;;;;;0;;;
2024_10_04-B8.15.1.bmp;;;2;34.07;0.3;0.47;;;;1;74.17;;0.21;;;
2024_11_15-N4.7.2.bmp;;;;;;;;;;;;;;;;
2024_10_04-F3.24.2.bmp;2;0.33;;;;0.43;;;;;;;0;;;
2024_08_27-S4.3.2.bmp;1;0.13;;;;0.13;;;;;;;;;;
2024_10_04-B6.14.1.bmp;2;0.38;;;;0.43;;;;1;4.58;;0;;;
2024_08_29-I11.2.2.bmp;5;0.22;1;5.64;0.05;0.57;1;1;0;1;14.26;;0;1;2539.09;
2024_10_03-6.34.2.bmp;1;0.32;;;;0.32;;;;1;109.78;;0;;;
2024_10_04-B11.23.1.bmp;3;0.06;;;;0.17;1;1;0;;;;;1;102.2;
2024_10_03-10.39.1.bmp;4;0.11;;;;0.32;;;;;;;;;;
2024_11_15-I20.4.2.bmp;;;;;;;;;;;;;0;;;
2024_10_03-8.33.2.bmp;;;;;;;1;1;0;;;1;;1;2425.99;
2024_08_27-S8.5.1.bmp;;;;;;;;;;;;;;;;
2024_10_04-B10.21.2.bmp;3;0.15;;;;0.4;;;;;;;;;;
2024_10_04-11.17.1.bmp;1;0.19;1;14.46;0.12;0.32;;;;;;;;;;
2024_08_29-A3.10.2.bmp;;;;;;0;3;1;1;;;;0;;;49.16
2024_10_04-B8.38.2.bmp;2;0.21;;;;0.32;;;;;;;;;;
2024_10_04-B5.5.2.bmp;;;;;;;;;;;;;;;;
2024_10_04-B10.34.2.bmp;3;0.26;1;7.31;0.06;0.6;;;;;;;;;;
2024_08_27-I8.8.1.bmp;1;0.72;1;6.02;0.05;0.78;1;0;0;;;;0;;;
2024_10_04-B2.13.2.bmp;;;1;24.5;0.21;0.21;;;;;;;0.12;;;
2024_10_04-B12.1.2.bmp;1;0.41;;;;0.41;;;;;;;;1;3145.74;
2024_10_04-F2.14.2.bmp;4;0.16;;;;0.42;;;;;;;0;;;
2024_08_27-I1.5.1.bmp;2;0.21;;;;0.32;2;1;0;;;;0;;;
2024_10_03-6.25.2.bmp;4;0.16;;;;0.58;;;;;;;0;;;
2024_08_29-I12.8.1.bmp;6;0.34;;;;0.79;;;;;;;;1;112.77;
2024_10_04-B3.13.1.bmp;;;;;;;;;;;;;0.18;1;4859.23;
2024_11_15-N2.7.1.bmp;;;;;;;;;;;;;;;;
2024_10_04-12.34.2.bmp;7;0.19;;;;0.91;;;;;;;;;;
2024_10_04-B7.15.1.bmp;;;;;;;;;;;;;0.01;;;
2024_10_04-B13.16.2.bmp;2;0.12;;;;0.18;;;;;;;0;;;
2024_08_29-IB2.21.2.bmp;1;0.23;;;;;;;;;;;0.04;;;
2024_10_04-U1.18.1.bmp;;;2;17.02;0.14;0.21;;;;1;47.74;;0;;;
2024_10_04-F2.36.1.bmp;1;0.07;;;;0.07;;;;;;;0;1;9168.25;
2024_10_04-B5.15.1.bmp;;;;;;;;;;;;;0.06;;;
2024_10_04-B8.36.1.bmp;1;0.33;;;;0.34;;;;;;;0.02;;;
2024_10_04-B2.34.1.bmp;3;0.22;1;16.78;0.13;0.61;;;;;;;0;;;
2024_11_15-I22.28.1.bmp;;;;;;;;;;;;;0;;;
2024_08_27-I6.9.2.bmp;2;0.22;1;12.2;0.09;0.49;;;;;;;;;;
2024_11_15-I23.7.1.bmp;;;;;;;;;;;;;;;;
2024_08_27-I2.9.1.bmp;;;;;;;;;;;;1;0;1;282.52;50.11
2024_10_03-14.39.1.bmp;3;0.14;;;;0.24;;;;;;;;;;11.09
