"sample_name","Quality","Quality_Factor","Density","MOE","MOR","PrePD","PostPD","max_knot","knot_decisive"
"I19.34",1,"1",485.606,10.75296567,83.73229603,10.35998106,5.372177124,0,NA
"I19.35",1,"1",424.604,8.005066359,73.15737195,14.95999336,0,0,NA
"I19.36",2,"2",486.884,10.48455884,82.85667929,8.159989357,4.559991837,9,1
"I19.37",1,"1",411.922,6.565866932,65.95824584,12.86000061,0,0,NA
"I19.38",2,"2",389.565,8.315277297,59.89118217,7.859998703,3.479978561,20,1
"I19.39",2,"2",380.779,7.42066844,61.46492335,11.45999384,0,15,1
"I19.4",1,"1",456.506,10.41195212,80.92258854,12.84000921,4.173749924,5,NA
"I19.40",1,"1",375.224,7.170016577,60.74708183,13.51999044,1.02007103,0,NA
"I19.5",1,"1",457.933,11.04588931,83.99205841,12.75999403,7.953243256,0,NA
"I19.6",1,"1",465.415,10.82023792,83.91407521,13.48000431,3.23998642,7,NA
"I19.7",1,"1",496.265,9.364721489,67.30962327,5.060007572,2.099988937,0,NA
"I19.8",1,"1",483.708,10.66275895,89.02826466,9.260010719,1.748996735,0,NA
"I19.9",1,"1",507.101,12.34198047,90.75336668,7.759984016,10.35999298,0,NA
"I2.1",2,"2",480.437,9.047768521,55.20284192,7.520019054,0.480042458,13,NA
"I2.10",3,"3",408.655,5.846493895,46.35007901,4.160011292,0,23,1
"I2.11",2,"2",474.07,7.686610226,63.9891152,8.279989719,0,38,1
"I2.12",3,"3",427.421,5.730006445,28.21814584,3.880010128,1.100011826,40,1
"I2.13",2,"2",468.011,10.61239851,64.13610741,2.920007229,1.031072617,27,1
"I2.14",3,"3",365.304,6.912469551,58.6341291,15.71999693,0,19,1
"I2.15",3,"3",473.537,8.365295077,60.81075919,5.440009117,0.040050507,50,1
"I2.16",2,"2",470.396,7.453063381,57.38072162,4.36000061,0.040003777,45,1
"I2.17",3,"3",423.88,5.907751724,41.55608119,1.619997025,0,29,1
"I2.18",3,"3",473.601,7.129484292,45.35274384,4.340211391,4.419998169,32,1
"I2.19",3,"3",368.117,6.153142442,37.16804511,1.999976635,0.040011406,26,1
"I2.2",3,"3",457.279,6.92232082,53.78195059,6.059995174,0.041107178,29,1
"I2.20",3,"3",494.26,6.751533028,35.3209618,5.459989071,4.200018883,29,1
"I2.3",3,"3",424.177,4.805030381,28.20185885,3.380000114,0.040006638,19,1
"I2.4",3,"3",489.281,7.191434867,41.81922698,3.739975452,0.040014267,43,1
"I2.5",3,"3",464.12,7.838717583,62.40168024,7.480009556,0.539987564,25,1
"I2.6",2,"2",455.209,10.46917341,70.02677167,5.979997158,0.015472412,26,1
"I2.7",3,"3",450.199,8.730281284,62.72323234,4.079988956,0.04003334,35,1
"I2.8",3,"3",459.744,7.288629323,46.14663242,1.34000349,2.996162415,36,1
"I2.9",3,"3",478.184,8.327365452,52.74061359,10.21999741,9.421234131,13,1
"I20.10",1,"1",488.069,10.19098802,79.70990162,8.439988136,3.945337296,5,NA
"I20.11",1,"1",387.713,8.815522749,63.18469399,11.68616438,3.060014725,0,NA
"I20.12",2,"2",396.379,7.985334105,56.06825429,6.040007114,2.099988937,13,1
"I20.13",1,"1",461.826,11.485923,85.44764484,13.920012,6.363540649,0,NA
"I20.14",2,"2",378.345,8.18746132,55.32669897,3.860023022,8.640151978,15,1
"I20.15",1,"1",454.229,10.30976576,69.69386533,4.699987888,6.488360405,0,NA
"I20.16",2,"2",382.808,9.224882453,62.79607499,7.640006065,4.200054169,12,1
"I20.17",1,"1",385.291,8.724636676,65.09791571,12.86000395,2.820018768,0,NA
"I20.18",1,"1",396.011,9.385677028,68.62450403,19.07999897,4.673362732,0,NA
"I20.19",1,"1",384.215,9.173556436,68.53501105,15.03998804,3.130994797,0,NA
"I20.2",1,"1",460.358,12.00463696,84.81037884,12.76000738,6.137453079,0,NA
"I20.20",1,"1",384.317,7.527004337,62.97209943,13.53999329,0.399995804,0,NA
"I20.21",2,"2",370.506,7.392051222,49.70860399,4.119990826,0,24,1
"I20.22",1,"1",350.104,7.326570975,58.68595925,10.34001207,0,0,NA
"I20.23",1,"1",359.378,7.556572122,60.79026154,12.59999752,0,0,NA
"I20.24",1,"1",359.714,6.601758871,53.41828354,6.139993191,1.839998245,0,NA
"I20.25",2,"2",380.679,4.224427377,31.61194326,0.519996643,0,13,1
"I20.26",1,"1",375.512,8.169913006,63.76163445,8.92000103,1.439996719,19,NA
"I20.27",1,"1",376.921,8.341370787,66.02670027,11.98000526,0,9,NA
"I20.28",1,"1",385.336,8.424266024,67.75609388,15.19999599,1.29999733,0,NA
"I20.29",1,"1",461.965,11.32567251,84.95502378,12.81998587,6.120004654,0,NA
"I20.3",1,"1",457.144,11.61393437,83.92808125,12.56000805,7.491340637,10,NA
"I20.30",1,"1",398.065,9.046358559,63.99432236,11.03998613,1.040025711,0,NA
"I20.31",1,"1",413.712,9.477291659,71.4914582,9.439994812,3.889371872,16,NA
"I20.32",1,"1",418.319,10.08845208,72.23499587,8.079984665,8.772166252,0,NA
"I20.33",1,"1",424.54,10.72176754,78.87985236,18.05999374,7.10336113,0,NA
"I20.34",1,"1",432.281,10.92824923,79.69094136,17.43999863,0.442028046,0,NA
"I20.35",1,"1",424.397,10.55349256,78.57612064,16.9200182,6.459377289,0,NA
"I20.36",3,"3",374.111,7.882245345,47.9026263,2.95999527,0.079983711,17,1
"I20.37",2,"2",390.897,6.783411348,40.60708599,0.780017376,0,19,1
"I20.38",1,"1",388.448,8.557162538,55.32059665,4.899984837,1.200004578,0,NA
"I20.39",2,"2",390.221,8.71255087,54.4406787,6.479972839,1.500037193,13,1
"I20.4",1,"1",457.471,12.09452936,83.13474014,13.3599968,10.39872551,0,NA
"I20.40",1,"1",421.839,9.383768769,72.76555415,14.29999495,0.019990921,0,NA
"I20.5",2,"2",453.78,11.88800105,82.2259497,14.15997982,4.841564178,17,1
"I20.6",1,"1",450.47,10.82497274,81.46504807,12.8599844,6.419046402,8,NA
"I20.7",1,"1",492.51,10.05922011,62.71633206,1.140008926,0.439970016,11,NA
"I20.8",2,"2",493.662,10.68526459,83.66173119,7.219998837,4.666965485,0,NA
"I20.9",1,"1",430.198,8.362176335,70.80941348,10.17999649,0.019983292,6,NA
"I21.1",1,"1",472.809,10.47339948,76.24132343,8.44000721,10.72001743,10,NA
"I21.10",1,"1",371.897,6.989361059,59.5865544,14.16000509,0,0,NA
"I21.11",1,"1",371.68,5.120533664,49.00965385,8.459996223,0.020002365,7,NA
"I21.12",1,"1",379.102,6.715049451,62.74336329,14.11999607,6.622016907,0,NA
"I21.13",1,"1",378.997,5.513417443,57.82851677,16.0799818,0,0,NA
"I21.14",1,"1",374.467,6.290395184,58.77564343,17.54000759,0,6,NA
"I21.15",1,"1",491.556,10.89031759,79.58064307,6.840031624,3.888228416,13,NA
"I21.16",2,"2",499.923,10.56451639,84.08716731,6.999998569,3.88399601,17,1
"I21.17",1,"1",374.978,5.987345502,59.9520529,11.82001591,0,0,NA
"I21.18",1,"1",380.72,6.917198104,63.6451412,13.55999374,0.859985352,7,NA
"I21.19",1,"1",367.567,4.666717514,50.82134427,10.37999439,0,5,NA
"I21.2",1,"1",392.59,8.661665089,68.6083014,16.87998533,6.278547287,0,NA
"I21.20",2,"2",500.376,10.9281591,83.05574782,7.559981823,0.799994469,0,NA
